City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,8.85,53,75,1.03,CA,1722626889
1,blackmans bay,-43.0167,147.3167,8.74,72,100,0.45,AU,1722626820
2,pekan,3.4836,103.3996,25.06,91,100,1.49,MY,1722627153
3,cockburn town,21.4612,-71.1419,28.36,81,46,9.0,TC,1722627154
4,taunsa,30.7048,70.6505,33.88,51,14,2.38,PK,1722627155
5,qaqortoq,60.7167,-46.0333,8.89,69,0,3.45,GL,1722626879
6,bamboo flat,11.7,92.7167,26.05,94,75,1.03,IN,1722627157
7,rockland,41.1668,-74.0496,32.66,71,100,1.52,US,1722627158
8,praia da vitoria,38.7333,-27.0667,26.14,69,20,2.6,PT,1722627159
9,dodge city,37.7528,-100.0171,33.71,40,0,6.17,US,1722627160
10,edinburgh of the seven seas,-37.0676,-12.3116,9.5,56,90,15.39,SH,1722626717
11,nanao,37.05,136.9667,26.29,88,7,1.63,JP,1722627163
12,maintirano,-18.0667,44.0167,22.17,69,0,3.18,MG,1722627114
13,hastings,50.8552,0.5729,21.66,88,82,7.13,GB,1722627086
14,albany,42.6001,-73.9662,29.4,77,100,1.87,US,1722626435
15,khandyga,62.6667,135.6,4.63,82,7,0.49,RU,1722626846
16,ancud,-41.8697,-73.8203,8.97,88,100,9.81,CL,1722627168
17,adamstown,-25.066,-130.1015,20.26,81,97,3.67,PN,1722626827
18,olonkinbyen,70.9221,-8.7187,5.95,92,100,5.49,SJ,1722626911
19,vilyuchinsk,52.9306,158.4028,16.15,82,100,3.79,RU,1722626954
20,port saint john's,-31.6229,29.5448,17.2,79,93,1.71,ZA,1722627173
21,kailua-kona,19.6406,-155.9956,28.49,69,0,3.09,US,1722626931
22,madang,-5.2246,145.7966,24.16,92,83,2.8,PG,1722627175
23,ushuaia,-54.8,-68.3,2.81,87,100,4.12,AR,1722626826
24,zyryanovsk,49.7386,84.2719,16.74,78,84,0.69,KZ,1722627177
25,bilibino,68.0546,166.4372,6.23,64,100,1.82,RU,1722626848
26,port-aux-francais,-49.35,70.2167,1.9,81,99,14.88,TF,1722626854
27,tiksi,71.6872,128.8694,6.55,63,100,1.66,RU,1722627019
28,kiunga,-6.1219,141.2906,22.62,98,99,1.73,PG,1722627182
29,bethel,41.3712,-73.414,31.68,75,20,2.57,US,1722626822
30,zeribet el oued,34.6828,6.5111,40.01,12,75,6.58,DZ,1722627184
31,cabo san lucas,22.8909,-109.9124,35.61,62,62,3.57,MX,1722627185
32,sierra grande,-41.606,-65.3557,18.11,22,100,9.29,AR,1722627186
33,gulf shores,30.246,-87.7008,35.63,67,20,4.63,US,1722627187
34,grytviken,-54.2811,-36.5092,2.21,90,99,6.31,GS,1722626864
35,vorgashor,67.5833,63.95,15.67,76,13,5.93,RU,1722627051
36,balykshi,47.0667,51.8667,26.0,69,0,5.0,KZ,1722627191
37,taulaga,-11.0553,-171.0883,27.21,70,8,8.71,AS,1722627192
38,yellowknife,62.456,-114.3525,18.56,53,40,1.54,CA,1722626818
39,aykhal,66.0,111.5,9.9,86,77,2.31,RU,1722626995
40,vilhena,-12.7406,-60.1458,34.12,24,40,5.66,BR,1722627196
41,verkhnevilyuysk,63.4453,120.3167,9.55,66,55,1.33,RU,1722626878
42,canutama,-6.5339,-64.3831,37.89,25,99,1.53,BR,1722627198
43,puerto natales,-51.7236,-72.4875,1.25,100,100,1.54,CL,1722626918
44,antsiranana,-12.2787,49.2917,22.56,65,1,8.31,MG,1722627201
45,khovd,48.0056,91.6419,19.63,39,0,1.14,MN,1722627203
46,koryazhma,61.3143,47.1691,14.48,91,66,2.11,RU,1722627204
47,san antonio de pale,-1.4014,5.6325,22.56,79,26,5.61,GQ,1722626916
48,port lincoln,-34.7333,135.8667,10.41,69,99,1.03,AU,1722626969
49,isangel,-19.55,169.2667,20.22,87,100,7.47,VU,1722627207
50,avarua,-21.2078,-159.775,20.03,77,100,0.51,CK,1722627209
51,klyuchi,52.2667,79.1667,22.9,56,100,0.92,RU,1722627112
52,adh dhibiyah,24.5014,45.9686,33.28,13,98,3.67,SA,1722627211
53,tofol,5.3248,163.0078,28.53,70,91,2.35,FM,1722627212
54,caiuti-sat,46.1833,26.9333,27.24,39,100,2.94,RO,1722627213
55,papatowai,-46.5619,169.4708,4.22,89,63,1.45,NZ,1722626901
56,alotau,-10.3069,150.4462,21.99,95,100,2.26,PG,1722627215
57,sao luiz gonzaga,-28.4083,-54.9608,24.49,62,0,6.94,BR,1722627144
58,praya,14.9215,-23.5087,27.3,65,75,9.26,CV,1722627218
59,college,64.8569,-147.8028,11.18,89,100,4.12,US,1722626976
60,kayangel,8.0823,134.7173,28.89,77,96,5.7,PW,1722627220
61,iskateley,67.6803,53.1512,10.43,87,0,5.79,RU,1722627221
62,holualoa,19.6228,-155.9522,26.97,68,0,3.09,US,1722627222
63,manaure,11.7751,-72.4445,28.67,75,76,8.8,CO,1722627223
64,constantia,44.1833,28.65,25.39,69,43,7.0,RO,1722627224
65,nemuro,43.3236,145.575,16.08,88,61,3.48,JP,1722627017
66,keelung,25.1283,121.7419,29.08,83,0,0.19,TW,1722627226
67,nuku'alofa,-21.1333,-175.2,21.19,83,75,3.6,TO,1722627228
68,anloga,5.7947,0.8973,24.47,87,29,5.14,GH,1722627229
69,ha'il,27.5219,41.6907,34.01,20,0,6.17,SA,1722627230
70,selma,36.5708,-119.6121,34.8,37,0,3.6,US,1722627231
71,upata,8.0086,-62.3989,25.95,82,93,0.62,VE,1722627232
72,ilulissat,69.2167,-51.1,11.01,66,0,1.54,GL,1722626935
73,hithadhoo,-0.6,73.0833,28.51,74,91,3.72,MV,1722627071
74,springfield,37.2153,-93.2982,32.03,54,0,7.72,US,1722627014
75,brezno,48.8043,19.6363,16.32,97,96,1.01,SK,1722627236
76,san angelo,31.4638,-100.437,36.88,39,0,4.63,US,1722627123
77,badger,64.8,-147.5333,11.14,90,100,4.12,US,1722626847
78,sinazongwe,-17.2614,27.4618,20.18,45,0,1.94,ZM,1722627240
79,hamilton,39.1834,-84.5333,29.29,80,40,2.57,US,1722627066
80,hadibu,12.65,54.0333,26.22,76,49,9.94,YE,1722627242
81,cannonvale,-20.2833,148.7,18.66,78,3,5.4,AU,1722627243
82,sirte,31.2089,16.5887,27.08,67,0,4.12,LY,1722627244
83,anadyr,64.75,177.4833,8.28,93,100,5.0,RU,1722627245
84,waitangi,-43.9535,-176.5597,8.23,76,23,4.02,NZ,1722626882
85,invercargill,-46.4,168.35,-1.66,97,36,0.45,NZ,1722626917
86,nacala,-14.5428,40.6728,22.62,78,20,3.6,MZ,1722627249
87,okha,53.5739,142.9478,11.43,76,2,2.35,RU,1722627250
88,puerto ayora,-0.7393,-90.3518,25.98,72,54,4.94,EC,1722627108
89,fortuna,40.5982,-124.1573,17.77,93,100,2.57,US,1722627253
90,udachny,66.4167,112.4,10.5,85,38,0.96,RU,1722627254
91,uyar,55.81,94.3153,15.11,95,0,1.97,RU,1722627256
92,tokar,18.4254,37.729,27.89,61,57,11.51,SD,1722627257
93,katabu,-4.9333,122.5167,21.68,92,25,1.54,ID,1722627258
94,yulinshi,38.2906,109.7494,20.4,82,100,5.06,CN,1722627259
95,dawson creek,55.7666,-120.2362,21.8,30,20,3.09,CA,1722627260
96,yanbu,24.0891,38.0637,34.02,59,0,6.17,SA,1722627261
97,dakoro,14.5106,6.765,25.93,70,100,3.31,NE,1722627262
98,barah,13.7,30.3667,28.84,57,100,3.37,SD,1722627263
99,whitehorse,60.7161,-135.0538,14.5,57,75,1.54,CA,1722627118
100,uturoa,-16.7333,-151.4333,23.88,64,77,5.43,PF,1722626968
101,plymouth,41.8334,-70.8328,33.9,64,0,3.6,US,1722627267
102,howrah,22.5892,88.3103,27.0,94,75,4.63,IN,1722627268
103,san jeronimo,-11.9472,-75.2829,19.7,22,11,1.28,PE,1722627269
104,masterton,-40.9597,175.6575,2.83,95,1,0.88,NZ,1722627270
105,yarmouth,41.7057,-70.2286,32.2,75,0,3.09,US,1722627102
106,turan,16.0678,108.2208,27.99,83,20,0.51,VN,1722627272
107,auki,-8.7676,160.7034,24.81,91,99,1.56,SB,1722627273
108,atherton,53.5237,-2.4935,19.86,74,98,2.24,GB,1722627274
109,pallattur,10.15,78.8,27.21,84,100,3.21,IN,1722627276
110,choyr,46.3611,108.3611,15.41,90,63,3.97,MN,1722627277
111,kununurra,-15.7667,128.7333,15.99,82,5,0.0,AU,1722627278
112,tazovsky,67.4667,78.7,13.77,97,94,3.54,RU,1722626869
113,pan de azucar,-34.8,-55.2333,25.95,57,0,6.69,UY,1722627049
114,hirara,24.8,125.2833,27.15,94,18,1.03,JP,1722627281
115,klaksvik,62.2266,-6.589,12.51,99,100,9.35,FO,1722627058
116,margaret river,-33.95,115.0667,10.62,80,100,1.95,AU,1722626888
117,san carlos,9.6612,-68.5827,30.66,62,44,1.43,VE,1722627286
118,castillos,-34.1667,-53.8333,23.68,60,20,4.38,UY,1722627287
119,date,42.4681,140.8681,21.64,95,32,1.74,JP,1722627288
120,port mathurin,-19.6833,63.4167,22.21,76,66,5.79,MU,1722627289
121,kodiak,57.79,-152.4072,11.73,87,0,2.57,US,1722626737
122,mwinilunga,-11.7358,24.4293,15.91,30,0,1.76,ZM,1722627254
123,kintampo,8.0563,-1.7306,24.87,73,96,2.4,GH,1722627292
124,port elizabeth,-33.918,25.5701,11.29,89,0,2.57,ZA,1722626850
125,aasiaat,68.7098,-52.8699,3.51,85,47,1.47,GL,1722627101
126,swakopmund,-22.6833,14.5333,8.47,67,0,0.89,NA,1722627296
127,grand-lahou,5.1367,-5.0242,23.28,93,81,3.76,CI,1722627297
128,chonchi,-42.6128,-73.8092,9.51,93,100,4.5,CL,1722626835
129,hermanus,-34.4187,19.2345,6.56,79,0,3.34,ZA,1722626823
130,susuman,62.7833,148.1667,4.04,71,100,1.38,RU,1722627021
131,talnakh,69.4865,88.3972,18.12,65,98,0.78,RU,1722626891
132,turuntayevo,52.2,107.6167,17.05,96,100,0.67,RU,1722627302
133,taltal,-25.4,-70.4833,17.65,57,0,3.14,CL,1722627291
134,cuatro cienegas de carranza,26.9833,-102.0833,33.72,32,6,5.12,MX,1722627305
135,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,100,75,3.0,RU,1722627306
136,mandera,3.9366,41.867,30.67,35,100,4.8,KE,1722626913
137,cooper's town,26.8667,-77.5167,29.13,78,0,8.8,BS,1722627308
138,atafu village,-8.5421,-172.5159,28.1,73,0,7.17,TK,1722626892
139,barra dos coqueiros,-10.9089,-37.0386,26.01,83,40,5.14,BR,1722627310
140,ciudad lazaro cardenas,17.9583,-102.2,30.67,65,100,5.42,MX,1722627311
141,n'zeto,-7.2312,12.8666,20.44,88,79,3.24,AO,1722627313
142,betio village,1.358,172.9211,28.02,75,10,5.76,KI,1722627314
143,praia,14.9215,-23.5087,27.3,65,75,9.26,CV,1722627315
144,benguela,-12.5763,13.4055,20.0,86,67,2.48,AO,1722627316
145,tommot,58.9564,126.2925,10.53,91,100,1.07,RU,1722627317
146,hasaki,35.7333,140.8333,25.22,83,9,1.17,JP,1722627318
147,juneau,58.3019,-134.4197,16.0,67,40,5.14,US,1722627319
148,baiti,13.745,-14.7482,28.4,69,35,4.07,SN,1722627320
149,broken hill,-31.95,141.4333,9.21,49,88,3.58,AU,1722627321
150,balaklava,44.5,33.6,22.43,58,0,1.01,UA,1722627323
151,vadso,70.0744,29.7487,13.09,82,20,6.17,NO,1722627111
152,nuuk,64.1835,-51.7216,5.34,93,75,4.12,GL,1722626840
153,panagar,23.3,79.9833,24.06,96,100,6.02,IN,1722627327
154,paracuru,-3.41,-39.0306,27.84,61,49,6.95,BR,1722627328
155,zinder,13.8072,8.9881,26.83,63,68,2.23,NE,1722627329
156,bredasdorp,-34.5322,20.0403,8.22,89,3,2.17,ZA,1722626863
157,gobabis,-22.45,18.9667,16.95,23,5,3.67,NA,1722627332
158,toliara,-23.35,43.6667,19.99,59,0,4.22,MG,1722627333
159,inhambane,-23.865,35.3833,20.04,76,0,4.72,MZ,1722626971
160,talakan,50.3167,130.3667,18.57,95,99,0.96,RU,1722627335
161,aguas vermelhas,-15.7472,-41.46,20.68,59,22,3.49,BR,1722627336
162,koutiala,12.3917,-5.4642,25.04,88,71,3.78,ML,1722627337
163,luderitz,-26.6481,15.1594,15.77,51,0,3.89,NA,1722627338
164,fort mcmurray,56.7268,-111.381,21.77,46,0,4.63,CA,1722626978
165,dunedin,-45.8742,170.5036,1.56,92,9,2.63,NZ,1722626969
166,yanta,36.2411,115.6672,26.62,93,47,3.18,CN,1722627342
167,greymouth,-42.4667,171.2,-0.92,90,19,3.32,NZ,1722627343
168,fisterra,42.9049,-9.2629,19.3,81,0,5.92,ES,1722627344
169,guatrache,-37.6678,-63.5302,20.34,28,68,8.37,AR,1722627345
170,longyearbyen,78.2186,15.6401,13.91,72,0,1.54,SJ,1722627346
171,bundaberg,-24.85,152.35,10.12,91,0,1.34,AU,1722627347
172,ploudalmezeau,48.5333,-4.65,19.04,87,100,5.66,FR,1722627348
173,punta arenas,-53.15,-70.9167,3.06,93,100,5.14,CL,1722627250
174,kapuskasing,49.4169,-82.4331,32.05,48,75,5.14,CA,1722626925
175,okhotsk,59.3833,143.3,10.95,84,25,2.42,RU,1722626973
176,barvinkove,48.9097,37.0205,19.9,37,1,1.47,UA,1722627353
177,nowshahr,36.649,51.496,23.97,88,75,1.03,IR,1722627354
178,natal,-5.795,-35.2094,24.36,88,100,8.23,BR,1722627034
179,navapolatsk,55.5363,28.6424,13.65,94,68,2.19,BY,1722627356
180,revda,56.801,59.9303,12.53,98,82,2.05,RU,1722627357
181,thompson,55.7435,-97.8558,17.09,82,75,4.12,CA,1722626813
182,la passe,45.5549,-0.8967,23.13,72,0,6.52,FR,1722626992
183,ust-nera,64.5667,143.2,4.75,92,93,0.84,RU,1722626945
184,zemio,5.0314,25.1361,22.08,89,28,0.94,CF,1722627362
185,birecik,37.0294,37.9903,28.56,39,0,4.37,TR,1722627363
186,gros islet,14.0667,-60.95,30.93,74,20,5.14,LC,1722627364
187,selfoss,63.9331,-20.9971,12.19,69,100,12.01,IS,1722626824
188,sayansk,54.1088,102.1648,13.02,85,4,1.45,RU,1722627366
189,north madison,38.7678,-85.3966,29.04,48,23,2.42,US,1722627367
190,arica,-18.475,-70.3042,22.75,63,0,6.17,CL,1722627365
191,ribeira grande,38.5167,-28.7,26.22,69,40,4.02,PT,1722627013
192,mccook,40.2019,-100.6257,36.25,36,0,4.63,US,1722627194
193,puerto escondido,15.85,-97.0667,30.15,68,100,4.39,MX,1722627372
194,odiongan,12.4017,121.9919,27.21,83,100,2.04,PH,1722627373
195,isafjordur,66.0755,-23.124,11.02,76,100,10.29,IS,1722627059
196,nabire,-3.3667,135.4833,23.45,94,99,1.61,ID,1722627375
197,vila do maio,15.1333,-23.2167,27.44,82,100,8.24,CV,1722627376
198,lihue,21.9789,-159.3672,26.77,71,100,5.14,US,1722626986
199,polyarnyy,69.1989,33.4478,9.19,93,27,4.55,RU,1722627378
200,yudong,29.385,106.5194,30.33,79,6,1.53,CN,1722627380
201,port alfred,-33.5906,26.891,13.6,79,5,3.14,ZA,1722627381
202,hillsdale,41.0026,-74.0404,33.57,59,0,4.63,US,1722627346
203,edeia,-17.3383,-49.9314,30.6,21,7,4.2,BR,1722627383
204,paragominas,-2.9667,-47.4833,35.0,26,28,2.78,BR,1722627384
205,illizi,26.4833,8.4667,36.89,11,0,3.05,DZ,1722627385
206,ribeira brava,32.65,-17.0667,26.51,79,0,1.93,PT,1722627386
207,nikolayevsk-on-amure,53.1406,140.73,10.61,71,4,0.44,RU,1722627389
208,nouadhibou,20.931,-17.0347,21.99,83,4,8.23,MR,1722627390
209,dubbo,-32.25,148.6167,3.07,100,51,5.66,AU,1722627391
210,saint-philippe,-21.3585,55.7679,21.77,70,21,1.8,RE,1722627392
211,kristiansund,63.1115,7.732,19.03,72,0,3.09,NO,1722627393
212,nampa,43.5407,-116.5635,39.32,24,0,0.0,US,1722627394
213,changping,40.2186,116.2197,24.8,91,76,2.49,CN,1722627396
214,shindand,33.3029,62.1474,29.86,14,100,9.92,AF,1722627397
215,winslow,35.0242,-110.6974,34.1,26,0,2.57,US,1722627398
216,moab,38.5733,-109.5498,37.03,15,100,3.58,US,1722627399
217,veraval,20.9,70.3667,27.16,88,100,9.98,IN,1722627401
218,jamestown,42.097,-79.2353,23.73,95,100,1.34,US,1722626904
219,yaren,-0.5472,166.916,28.77,72,54,5.06,NR,1722627404
220,colonia,50.9333,6.95,22.92,81,0,1.03,DE,1722627228
221,tataouine,32.9297,10.4518,32.72,20,0,4.7,TN,1722627406
222,port augusta,-32.5,137.7667,9.19,83,92,3.66,AU,1722627384
223,arraial do cabo,-22.9661,-42.0278,23.98,73,40,7.72,BR,1722626732
224,ketchikan,55.3422,-131.6461,18.52,63,0,5.66,US,1722626796
225,naranjal,-2.6667,-79.6167,29.16,67,70,2.09,EC,1722627410
226,choibalsan,48.0667,114.5,17.46,93,15,2.49,MN,1722627411
227,codrington,-38.2667,141.9667,8.24,86,100,2.85,AU,1722627412
228,coruripe,-10.1256,-36.1756,23.03,85,58,5.62,BR,1722627414
229,casablanca,33.5928,-7.6192,26.12,83,40,3.09,MA,1722627296
230,ulsteinvik,62.3432,5.8487,17.77,79,100,2.31,NO,1722627416
231,touros,-5.1989,-35.4608,24.82,82,40,7.33,BR,1722627417
232,baruun-urt,46.6806,113.2792,17.03,88,87,2.84,MN,1722627020
233,brisas de zicatela,15.8369,-97.0419,30.09,68,100,4.33,MX,1722627420
234,malvan,16.0667,73.4667,26.55,86,100,7.56,IN,1722627421
235,wailua homesteads,22.0669,-159.378,26.44,72,100,5.14,US,1722626832
236,vila franca do campo,37.7167,-25.4333,25.23,70,32,1.48,PT,1722626841
237,las varillas,-31.8721,-62.7195,33.23,27,100,5.99,AR,1722627424
238,winchester,51.0651,-1.3187,22.36,73,20,4.63,GB,1722627425
239,fort bragg,35.139,-79.006,35.25,61,20,7.72,US,1722627426
240,gondia,21.45,80.2,23.47,96,100,5.93,IN,1722627428
241,burang,30.25,81.1667,10.34,83,98,1.69,CN,1722627429
242,nakhon si thammarat,8.25,100.0,25.74,87,100,1.09,TH,1722627430
243,imst,47.2684,10.6698,11.37,73,69,0.65,AT,1722627431
244,estes park,40.3772,-105.5217,31.06,23,100,1.34,US,1722627432
245,riberalta,-10.9833,-66.1,35.11,43,20,4.12,BO,1722627365
246,antofagasta,-23.65,-70.4,16.6,75,1,0.69,CL,1722627363
247,lebu,-37.6167,-73.65,11.21,88,72,5.94,CL,1722627435
248,mocksville,35.894,-80.5614,34.77,59,16,0.89,US,1722627436
249,afaahiti,-17.75,-149.2833,24.93,67,51,4.81,PF,1722627357
250,new norfolk,-42.7826,147.0587,9.4,93,100,0.71,AU,1722627439
251,male,4.1748,73.5089,28.97,84,75,2.57,MV,1722627440
252,harstad,68.799,16.5293,15.13,98,94,3.13,NO,1722627084
253,necochea,-38.5473,-58.7368,25.21,52,64,5.45,AR,1722627386
254,wattegama,6.7989,81.4808,24.13,84,100,3.08,LK,1722627443
255,yeed,4.55,43.0333,28.85,41,100,6.35,SO,1722627444
256,edson,53.5835,-116.4356,22.08,35,0,2.06,CA,1722627445
257,grand baie,-20.0182,57.5802,20.26,63,9,3.11,MU,1722627446
258,box elder,41.5005,-112.8764,37.37,34,11,1.01,US,1722627447
259,santa ana de yacuma,-13.75,-65.4333,34.97,36,20,7.72,BO,1722627450
260,pearsall,28.8922,-99.095,39.1,33,76,3.6,US,1722627410
261,hailey,43.5196,-114.3153,36.63,10,36,3.9,US,1722627193
262,kulhudhuffushi,6.6221,73.07,28.29,78,100,5.43,MV,1722627453
263,usinsk,65.9939,57.5281,16.22,89,33,6.2,RU,1722627456
264,kingston,17.997,-76.7936,30.09,79,40,4.12,JM,1722626925
265,abalak,58.1286,68.5944,15.38,95,3,1.6,RU,1722627460
266,tongliao,43.6125,122.2653,20.81,92,45,2.46,CN,1722627461
267,bandarbeyla,9.4942,50.8122,25.65,77,67,13.35,SO,1722627462
268,nowy tomysl,52.3195,16.1284,18.38,91,100,2.3,PL,1722627463
269,orenburg,51.7727,55.0988,17.01,56,97,2.55,RU,1722627464
270,bardai,11.65,7.2333,22.87,88,96,3.16,NG,1722627465
271,georgetown,5.4112,100.3354,28.96,74,20,3.6,MY,1722627466
272,san julian,21.0167,-102.1667,24.38,41,69,3.96,MX,1722627467
273,ust'-kulom,61.6864,53.6902,14.39,96,99,2.1,RU,1722627468
274,crane,31.3974,-102.3501,36.56,24,0,6.03,US,1722627470
275,midvagur,62.0511,-7.1939,12.46,100,100,6.69,FO,1722627471
276,happy valley-goose bay,53.3168,-60.3315,16.17,72,40,2.57,CA,1722627473
277,kaynarca,41.0308,30.3075,22.55,85,0,1.81,TR,1722627474
278,eyl,7.9803,49.8164,26.03,71,36,11.76,SO,1722627475
279,carnarvon,-24.8667,113.6333,17.04,69,0,7.72,AU,1722626893
280,chignahuapan,19.8333,-98.0333,16.22,86,87,3.84,MX,1722627398
281,dzuunharaa,48.8523,106.4579,14.74,97,100,1.64,MN,1722627479
282,sitka,57.0531,-135.33,15.94,72,20,0.0,US,1722627193
283,broad ripple,39.8667,-86.1417,29.97,72,40,4.63,US,1722627481
284,remire-montjoly,4.9167,-52.2667,27.02,83,75,3.09,GF,1722627482
285,mao,39.8885,4.2658,27.31,83,75,2.06,ES,1722627483
286,kolonia town,6.964,158.206,25.06,100,100,3.09,FM,1722627484
287,solnechnyy,50.7214,136.6319,12.85,88,100,2.55,RU,1722627485
288,talcahuano,-36.7167,-73.1167,12.82,82,100,4.63,CL,1722627486
289,murzuq,25.9155,13.9184,31.44,17,0,2.73,LY,1722627119
290,semikarakorsk,47.5194,40.8112,25.15,51,91,6.34,RU,1722627489
291,san patricio,28.017,-97.5169,34.4,47,57,6.19,US,1722627490
292,santa ana,33.7456,-117.8678,37.11,44,40,3.6,US,1722626851
293,guarapari,-20.6667,-40.4975,23.27,80,34,3.09,BR,1722627492
